# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.8948772901 0.8008024653 2.7641410308 2.1056172573 3.5259946113 0.0827281064 0.0827281064 0.8948772901 0.8008024653
0.3137156396 0.6512592970 -1.3039905231 1.0588150789 0.0829288428 24.1280238973 0.0829288428 0.3137156396 0.6512592970
0.2356589660 0.0381809005 -1.8503872377 -3.2327336968 3.1547391657 12.6043523096 3.1547391657 0.2356589660 0.0381809005
0.9355157757 0.8768041266 3.0486104300 2.6376288859 38.0527689605 0.0827281064 0.0827281064 0.9355157757 0.8768041266
0.4927288775 0.8583197144 -0.0508978574 2.5082380011 3.5259946113 8.0487069001 3.5259946113 0.4927288775 0.8583197144
0.3525084677 0.7086366960 -1.0324407259 1.4604568719 0.0694028538 8.0487069001 0.0694028538 0.3525084677 0.7086366960
0.3138378915 0.7995565391 -1.3031347592 2.0968957735 0.0694028538 8.0487069001 0.0694028538 0.3138378915 0.7995565391
0.8279254951 0.4168864630 2.2954784658 -0.5817947589 0.0887690381 0.0827281064 0.0827281064 0.8279254951 0.4168864630
0.3720720124 0.5142827560 -0.8954959130 0.0999792920 0.0694028538 19.6554581206 0.0694028538 0.3720720124 0.5142827560
0.0612571197 0.1437221157 -3.0712001619 -2.4939451902 22.4019702053 14.6958224563 14.6958224563 0.0612571197 0.1437221157
0.9734686487 0.7681216186 3.3142805409 1.8768513303 3.5259946113 17.2712568881 3.5259946113 0.9734686487 0.7681216186
0.5982596282 0.3951277383 0.6878173975 -0.7341058320 0.0887690381 0.4883208927 0.0887690381 0.5982596282 0.3951277383
0.3811968405 0.0361646675 -0.8316221168 -3.2468473275 0.1020729468 0.3757452199 0.1020729468 0.3811968405 0.0361646675
0.7784681614 0.7794681834 1.9492771299 1.9562772835 3.5259946113 0.0827281064 0.0827281064 0.7784681614 0.7794681834
0.0300593476 0.7209450872 -3.2895845671 1.5466156106 0.0694028538 0.0804509261 0.0694028538 0.0300593476 0.7209450872
0.8900739698 0.2525273084 2.7305177888 -1.7323088410 0.0887690381 0.6960409702 0.0887690381 0.8900739698 0.2525273084
0.3341216570 0.5243090775 -1.1611484010 0.1701635428 0.0694028538 35.7397786225 0.0694028538 0.3341216570 0.5243090775
0.6998590280 0.5794532774 1.3990131959 0.5561729418 3.5259946113 0.4883208927 0.4883208927 0.6998590280 0.5794532774
0.6731496698 0.0665565537 1.2120476887 -3.0341041238 9.4007355308 0.6960409702 0.6960409702 0.6731496698 0.0665565537
0.7427055299 0.0131161647 1.6989387096 -3.4081868473 5.0151677570 0.6960409702 0.6960409702 0.7427055299 0.0131161647
0.9822128406 0.6723016856 3.3754898840 1.2061117989 3.5259946113 0.0827281064 0.0827281064 0.9822128406 0.6723016856
0.2571615269 0.3740937324 -1.6998693115 -0.8813438732 0.1020729468 70.6194129714 0.1020729468 0.2571615269 0.3740937324
0.7794097749 0.3278963338 1.9558684244 -1.2047256634 0.2921178517 0.6960409702 0.2921178517 0.7794097749 0.3278963338
0.2440872342 0.5293921535 -1.7913893605 0.2057450744 0.0694028538 64.0837219013 0.0694028538 0.2440872342 0.5293921535
0.1934347737 0.7808570313 -2.1459565842 1.9659992190 17.4518127885 0.0804509261 0.0804509261 0.1934347737 0.7808570313
0.7509130947 0.4853194391 1.7563916627 -0.1027639262 0.0887690381 0.0827281064 0.0827281064 0.7509130947 0.4853194391
0.9554260818 0.3151028661 3.1879825726 -1.2942799371 0.0887690381 0.6960409702 0.0887690381 0.9554260818 0.3151028661
