# from_x0 from_x1 to_x0 to_x1 length
-2.3648477819 2.1812658069 1.5795815605 -2.3213660233 0.8551430986
3.0486104300 2.6376288859 1.5795815605 -2.3213660233 0.7388584180
-3.0712001619 -2.4939451902 1.5795815605 -2.3213660233 0.6648546595
-2.2530859185 -2.9536787255 -3.0712001619 -2.4939451902 0.1340625683
-2.6051596595 3.2554277738 -2.3648477819 2.1812658069 0.1572450142
-2.1459565842 1.9659992190 -2.3648477819 2.1812658069 0.0438580875
1.2120476887 -3.0341041238 1.5795815605 -2.3213660233 0.1145600944
1.6989387096 -3.4081868473 1.2120476887 -3.0341041238 0.0877148383
3.3142805409 1.8768513303 3.0486104300 2.6376288859 0.1151186697
-0.0508978574 2.5082380011 -2.1459565842 1.9659992190 0.3091559928
2.6219003820 0.6279384080 3.0486104300 2.6376288859 0.2934988538
1.4673819242 0.7237281376 3.0486104300 2.6376288859 0.3546570537
1.3990131959 0.5561729418 3.0486104300 2.6376288859 0.3794095811
3.1690828511 3.0477720298 3.0486104300 2.6376288859 0.0610672100
1.9492771299 1.9562772835 3.0486104300 2.6376288859 0.1847653620
2.7641410308 2.1056172573 3.0486104300 2.6376288859 0.0861843316
1.9187431462 3.3604256964 3.0486104300 2.6376288859 0.1916116027
2.5419732308 2.0788219321 3.0486104300 2.6376288859 0.1077550570
2.4413645010 0.9650764495 3.0486104300 2.6376288859 0.2541965843
3.3754898840 1.2061117989 3.0486104300 2.6376288859 0.2097662133
-1.8503872377 -3.2327336968 -2.2530859185 -2.9536787255 0.0699909476
-2.2559364123 1.4431829382 -2.1459565842 1.9659992190 0.0763226805
1.6465150831 -1.0579564691 1.5795815605 -2.3213660233 0.1807401900
-3.2733208332 3.2625828835 -2.6051596595 3.2554277738 0.0954570691
1.9558684244 -1.2047256634 1.6465150831 -1.0579564691 0.0489148961
1.0538453607 -0.7289242819 1.6465150831 -1.0579564691 0.0968398194
-0.8316221168 -3.2468473275 -1.8503872377 -3.2327336968 0.1455518398
-1.6998693115 -0.8813438732 -3.0712001619 -2.4939451902 0.3024063798
-0.3554315097 -2.1602953244 1.2120476887 -3.0341041238 0.2563691875
3.1879825726 -1.2942799371 1.9558684244 -1.2047256634 0.1764806310
0.6878173975 -0.7341058320 1.0538453607 -0.7289242819 0.0522949481
2.3844338862 -3.1750474349 1.6989387096 -3.4081868473 0.1034366239
2.7305177888 -1.7323088410 1.9558684244 -1.2047256634 0.1338919491
0.6956521096 -3.2259657015 1.2120476887 -3.0341041238 0.0786979837
0.3125530253 -2.4461170427 -0.3554315097 -2.1602953244 0.1037950683
2.5891735008 -0.0791183593 2.6219003820 0.6279384080 0.1011162516
2.2954784658 -0.5817947589 1.9558684244 -1.2047256634 0.1013558987
1.7563916627 -0.1027639262 1.3990131959 0.5561729418 0.1070873346
-1.3039905231 1.0588150789 -2.2559364123 1.4431829382 0.1466593740
-1.9201268852 0.0487209398 -1.6998693115 -0.8813438732 0.1365413860
-0.8786126372 0.8587905805 -1.3039905231 1.0588150789 0.0671513894
-1.0324407259 1.4604568719 -1.3039905231 1.0588150789 0.0692607352
-1.1611484010 0.1701635428 -1.3039905231 1.0588150789 0.1285797953
-1.3031347592 2.0968957735 -2.1459565842 1.9659992190 0.1218465526
-0.8954959130 0.0999792920 -1.3039905231 1.0588150789 0.1488893517
-1.6971697172 0.7185027905 -1.3039905231 1.0588150789 0.0742860347
-2.8751937414 1.1814511513 -2.2559364123 1.4431829382 0.0960424192
-1.7913893605 0.2057450744 -1.3039905231 1.0588150789 0.1403556750
-3.2895845671 1.5466156106 -2.2559364123 1.4431829382 0.1484014705
