# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm
0.4277627048 0.1147993039 -0.5056610663 -2.6964048729 0.1020729468 0.0872340966 0.0872340966 0.4277627048 0.1147993039
0.8266394658 0.4701400694 2.2864762609 -0.2090195144 0.0887690381 0.0827281064 0.0827281064 0.8266394658 0.4701400694
0.9471629873 0.0856041428 3.1301409112 -2.9007710004 0.0887690381 0.6960409702 0.0887690381 0.9471629873 0.0856041428
0.3313117531 0.6869639128 -1.1808177280 1.3087473896 0.0694028538 12.6386899806 0.0694028538 0.3313117531 0.6869639128
0.4996501733 0.0744200443 -0.0024487866 -2.9790596901 0.0887690381 0.0872340966 0.0872340966 0.4996501733 0.0744200443
0.8796588376 0.6077761495 2.6576118634 0.7544330462 3.5259946113 0.4961048696 0.4961048696 0.8796588376 0.6077761495
0.9013511555 0.4624304326 2.8094580885 -0.2629869717 0.0887690381 0.0827281064 0.0827281064 0.9013511555 0.4624304326
0.5310995602 0.6712470374 0.2176969216 1.1987292619 3.5259946113 8.0487069001 3.5259946113 0.5310995602 0.6712470374
0.5082971933 0.2984176945 0.0580803532 -1.4110761385 0.0887690381 0.0872340966 0.0872340966 0.5082971933 0.2984176945
0.8930245599 0.7504726772 2.7511719194 1.7533087403 3.5259946113 0.0827281064 0.0827281064 0.8930245599 0.7504726772
0.3557653223 0.6506353220 -1.0096427438 1.0544472542 0.0694028538 12.0579406300 0.0694028538 0.3557653223 0.6506353220
0.5224519871 0.0664376673 0.1571639096 -3.0349363286 0.0887690381 0.0872340966 0.0872340966 0.5224519871 0.0664376673
0.4836776036 0.9678628458 -0.1142567751 3.2750399204 3.5259946113 8.0487069001 3.5259946113 0.4836776036 0.9678628458
0.2203160923 0.2577817088 -1.9577873539 -1.6955280383 0.1020729468 0.0986538978 0.0986538978 0.2203160923 0.2577817088
0.3656285436 0.7134529367 -0.9406001951 1.4941705568 0.0694028538 8.0487069001 0.0694028538 0.3656285436 0.7134529367
0.8455108193 0.2034949016 2.4185757352 -2.0755356886 0.0887690381 0.6960409702 0.0887690381 0.8455108193 0.2034949016
0.3139687429 0.9485486924 -1.3022187996 3.1398408471 0.0694028538 8.0487069001 0.0694028538 0.3139687429 0.9485486924
0.8285750803 0.4564958406 2.3000255618 -0.3045291155 0.0887690381 0.0827281064 0.0827281064 0.8285750803 0.4564958406
0.9169523244 0.0643335080 2.9186662711 -3.0496654439 0.0887690381 1.1723728678 0.0887690381 0.9169523244 0.0643335080
0.7751371740 0.4167470454 1.9259602179 -0.5827706821 0.0887690381 0.0827281064 0.0827281064 0.7751371740 0.4167470454
0.4731971807 0.7179140654 -0.1876197353 1.5253984579 3.5259946113 8.0487069001 3.5259946113 0.4731971807 0.7179140654
0.9172471682 0.2477121855 2.9207301772 -1.7660147015 0.0887690381 0.6960409702 0.0887690381 0.9172471682 0.2477121855
0.6506966480 0.1124575506 1.0548765361 -2.7127971459 4.0403258318 0.6960409702 0.6960409702 0.6506966480 0.1124575506
0.2289861556 0.1189792815 -1.8970969109 -2.6671450293 0.1020729468 19.1236927885 0.1020729468 0.2289861556 0.1189792815
0.6787555371 0.0372766612 1.2512887599 -3.2390633717 7.4848892037 0.6960409702 0.6960409702 0.6787555371 0.0372766612
0.4646464138 0.4307574812 -0.2474751031 -0.4846976317 0.1020729468 8.0487069001 0.1020729468 0.4646464138 0.4307574812
0.2667756567 0.4942534254 -1.6325704031 -0.0402260221 0.0694028538 78.5704115828 0.0694028538 0.2667756567 0.4942534254
0.7211283804 0.6636861730 1.5478986627 1.1458032111 3.5259946113 0.4883208927 0.4883208927 0.7211283804 0.6636861730
0.0843060942 0.1829475531 -2.9098573405 -2.2193671280 0.8439239397 2.0616536590 0.8439239397 0.0843060942 0.1829475531
0.2313195468 0.3347815720 -1.8807631724 -1.1565289958 0.1020729468 46.3761417732 0.1020729468 0.2313195468 0.3347815720
0.4445584826 0.8492875463 -0.3880906215 2.4450128241 0.0694028538 8.0487069001 0.0694028538 0.4445584826 0.8492875463
0.8729760847 0.3638119050 2.6108325927 -0.9533166649 0.0887690381 0.0827281064 0.0827281064 0.8729760847 0.3638119050
0.3919458587 0.2019486239 -0.7563789890 -2.0863596325 0.1020729468 0.0872340966 0.0872340966 0.3919458587 0.2019486239
0.0467880360 0.6489489392 -3.1724837478 1.0426425744 0.0694028538 0.0804509261 0.0694028538 0.0467880360 0.6489489392
0.4480955432 0.0678709421 -0.3633311979 -3.0249034052 0.1020729468 0.0902381885 0.0902381885 0.4480955432 0.0678709421
0.0856604918 0.5414418927 -2.9003765571 0.2900932490 0.0694028538 0.0804509261 0.0694028538 0.0856604918 0.5414418927
0.8766403389 0.3345669318 2.6364823720 -1.1580314773 0.0887690381 0.6960409702 0.0887690381 0.8766403389 0.3345669318
0.5391780411 0.5133941577 0.2742462877 0.0937591041 0.0887690381 8.0487069001 0.0887690381 0.5391780411 0.5133941577
0.6220450409 0.7231050500 0.8543152863 1.5617353497 3.5259946113 0.4883208927 0.4883208927 0.6220450409 0.7231050500
0.4964489002 0.7258545309 -0.0248576987 1.5809817163 3.5259946113 8.0487069001 3.5259946113 0.4964489002 0.7258545309
0.2726443001 0.5803619447 -1.5914898991 0.5625336128 0.0694028538 50.8045107813 0.0694028538 0.2726443001 0.5803619447
0.0024388466 0.3946760295 -3.4829280737 -0.7372677934 0.1020729468 0.0804509261 0.0804509261 0.0024388466 0.3946760295
0.3274906836 0.5214575379 -1.2075652145 0.1502027652 0.0694028538 40.2783641050 0.0694028538 0.3274906836 0.5214575379
0.5552461885 0.1372428738 0.3867233197 -2.5392998837 0.0887690381 0.6960409702 0.0887690381 0.5552461885 0.1372428738
0.3574733825 0.4150407977 -0.9976863226 -0.5947144159 0.1020729468 30.5444934364 0.1020729468 0.3574733825 0.4150407977
0.2637592282 0.4368036013 -1.6536854027 -0.4423747912 0.1020729468 83.4072189412 0.1020729468 0.2637592282 0.4368036013
0.8356322464 0.2056337983 2.3494257245 -2.0605634118 0.0887690381 0.6960409702 0.0887690381 0.8356322464 0.2056337983
0.7905295000 0.7836170023 2.0337064999 1.9853190159 3.5259946113 0.0827281064 0.0827281064 0.7905295000 0.7836170023
