# generation best_consensus ca_size
0 0.467719 0
1 0.467719 0
2 0.467719 0
3 0.467719 0
4 0.467719 0
5 0.467719 0
6 0.467719 0
7 0.467719 0
8 0.467719 0
9 0.467719 0
10 0.467719 0
11 0.467719 0
12 0.467719 0
13 0.467719 0
14 0.467719 0
15 0.467719 0
16 0.467719 0
17 0.467719 0
18 0.467719 0
19 0.467719 0
20 0.467719 0
21 0.467719 0
22 0.467719 0
23 0.467719 0
24 0.467719 0
25 0.467719 0
26 0.467719 0
27 0.467719 0
28 0.467719 0
29 0.467719 0
30 0.467719 0
31 0.467719 0
32 0.467719 0
33 0.467719 0
34 0.467719 0
35 0.467719 0
36 0.467719 0
37 0.467719 0
38 0.467719 0
39 0.467719 0
40 0.467719 0
41 0.467719 0
42 0.467719 0
43 0.467719 0
44 0.467719 0
45 0.467719 0
46 0.467719 0
47 0.467719 0
48 0.467719 0
49 0.467719 0
50 0.467719 0
51 0.467719 0
52 0.467719 0
53 0.467719 0
54 0.467719 0
55 0.467719 0
56 0.467719 0
57 0.467719 0
58 0.467719 0
59 0.467719 0
60 0.467719 0
61 0.467719 0
62 0.467719 0
63 0.467719 0
64 0.467719 0
65 0.467719 0
66 0.467719 0
67 0.467719 0
68 0.467719 0
69 0.467719 0
70 0.467719 0
71 0.467719 0
72 0.467719 0
73 0.467719 0
74 0.467719 0
75 0.467719 0
76 0.467719 0
77 0.467719 0
78 0.467719 0
79 0.467719 0
80 0.467719 0
81 0.467719 0
82 0.467719 0
83 0.467719 0
84 0.467719 0
85 0.467719 0
86 0.467719 0
87 0.467719 0
88 0.467719 0
89 0.467719 0
90 0.467719 0
91 0.467719 0
92 0.467719 0
93 0.467719 0
94 0.467719 0
95 0.467719 0
96 0.467719 0
97 0.467719 0
98 0.467719 0
99 0.467719 0
100 0.467719 0
101 0.467719 0
102 0.467719 0
103 0.467719 0
104 0.467719 0
105 0.467719 0
106 0.467719 0
107 0.467719 0
108 0.467719 0
109 0.467719 0
110 0.467719 0
111 0.467719 0
112 0.467719 0
113 0.472275 0
114 0.472275 0
115 0.472275 0
116 0.472275 0
117 0.472275 0
118 0.472275 0
119 0.472275 0
120 0.472275 0
121 0.472275 0
122 0.472275 0
123 0.472275 0
124 0.472275 0
125 0.472275 0
126 0.472275 0
127 0.472275 0
128 0.472275 0
129 0.472275 0
130 0.472275 0
131 0.472275 0
132 0.472275 0
133 0.472275 0
134 0.472275 0
135 0.472275 0
136 0.472275 0
137 0.472275 0
138 0.472275 0
139 0.472275 0
140 0.472275 0
141 0.472275 0
142 0.472275 0
143 0.472275 0
144 0.472275 0
145 0.472275 0
146 0.472275 0
147 0.472275 0
148 0.472275 0
149 0.472275 0
150 0.472275 0
151 0.472275 0
152 0.472275 0
153 0.472275 0
154 0.472275 0
155 0.472275 0
156 0.472275 0
157 0.472275 0
158 0.472275 0
159 0.472275 0
160 0.472275 0
161 0.472275 0
162 0.472275 0
163 0.472275 0
164 0.472275 0
165 0.472275 0
166 0.472275 0
167 0.472275 0
168 0.472275 0
169 0.472275 0
170 0.472275 0
171 0.472275 0
172 0.472275 0
173 0.472275 0
174 0.472275 0
175 0.472275 0
176 0.472275 0
177 0.472275 0
178 0.472275 0
179 0.472275 0
180 0.472275 0
181 0.472275 0
182 0.472275 0
183 0.472275 0
184 0.472275 0
185 0.472275 0
186 0.472275 0
187 0.472275 0
188 0.472275 0
189 0.472275 0
190 0.472275 0
191 0.472275 0
192 0.472275 0
193 0.472275 0
194 0.472275 0
195 0.472275 0
196 0.472275 0
197 0.472275 0
198 0.472275 0
199 0.472275 0
200 0.472275 0
201 0.472275 0
202 0.472275 0
203 0.472275 0
204 0.472275 0
205 0.472275 0
206 0.472275 0
207 0.472275 0
208 0.472275 0
209 0.472275 0
210 0.472275 0
211 0.472275 0
212 0.472275 0
213 0.472275 0
214 0.472275 0
215 0.472275 0
216 0.472275 0
217 0.472275 0
218 0.472275 0
219 0.472275 0
220 0.472275 0
221 0.472275 0
222 0.472275 0
223 0.472275 0
224 0.472275 0
225 0.472275 0
226 0.472275 0
227 0.472275 0
228 0.472275 0
229 0.472275 0
230 0.472275 0
231 0.472275 0
232 0.472275 0
233 0.472275 0
234 0.472275 0
235 0.472275 0
236 0.472275 0
237 0.472275 0
238 0.472275 0
239 0.472275 0
240 0.472275 0
241 0.472275 0
242 0.472275 0
243 0.472275 0
244 0.472275 0
245 0.472275 0
246 0.472275 0
247 0.472275 0
248 0.472275 0
249 0.472275 0
250 0.472275 0
251 0.472275 0
252 0.472275 0
253 0.472275 0
254 0.472275 0
255 0.472275 0
256 0.472275 0
257 0.472275 0
258 0.472275 0
259 0.472275 0
260 0.472275 0
261 0.472275 0
262 0.472275 0
263 0.472275 0
264 0.472275 0
265 0.472275 0
266 0.472275 0
267 0.472275 0
268 0.472275 0
269 0.472275 0
270 0.472275 0
271 0.472275 0
272 0.472275 0
273 0.472275 0
274 0.472275 0
275 0.472275 0
276 0.472275 0
277 0.472275 0
278 0.472275 0
279 0.472275 0
280 0.472275 0
281 0.472275 0
282 0.472275 0
283 0.472275 0
284 0.472275 0
285 0.472275 0
286 0.472275 0
287 0.472275 0
288 0.472275 0
289 0.472275 0
290 0.472275 0
291 0.472275 0
292 0.472275 0
293 0.472275 0
294 0.472275 0
295 0.472275 0
296 0.472275 0
297 0.472275 0
298 0.472275 0
299 0.472275 0
300 0.472275 0
301 0.472275 0
302 0.472275 0
303 0.472275 0
304 0.472275 0
305 0.472275 0
306 0.472275 0
307 0.472275 0
308 0.472275 0
309 0.472275 0
310 0.472275 0
311 0.472275 0
312 0.472275 0
313 0.472275 0
314 0.472275 0
315 0.472275 0
316 0.472275 0
317 0.472275 0
318 0.472275 0
319 0.472275 0
320 0.472275 0
321 0.472275 0
322 0.472275 0
323 0.472275 0
324 0.472275 0
325 0.472275 0
326 0.472275 0
327 0.472275 0
328 0.472275 0
329 0.472275 0
330 0.472275 0
331 0.472275 0
332 0.472275 0
333 0.472275 0
334 0.472275 0
335 0.472275 0
336 0.472275 0
337 0.472275 0
338 0.472275 0
339 0.472275 0
340 0.472275 0
341 0.472275 0
342 0.472275 0
343 0.472275 0
344 0.472275 0
345 0.472275 0
346 0.472275 0
347 0.472275 0
348 0.472275 0
349 0.472275 0
350 0.472275 0
351 0.472275 0
352 0.472275 0
353 0.472275 0
354 0.472275 0
355 0.472275 0
356 0.472275 0
357 0.472275 0
358 0.472275 0
359 0.472275 0
360 0.472275 0
361 0.472275 0
362 0.472275 0
363 0.472275 0
364 0.472275 0
365 0.472275 0
366 0.472275 0
367 0.472275 0
368 0.472275 0
369 0.472275 0
370 0.472275 0
371 0.472275 0
372 0.472275 0
373 0.472275 0
374 0.472275 0
375 0.472275 0
376 0.472275 0
377 0.472275 0
378 0.472275 0
379 0.472275 0
380 0.472275 0
381 0.472275 0
382 0.472275 0
383 0.472275 0
384 0.472275 0
385 0.472275 0
386 0.472275 0
387 0.472275 0
388 0.472275 0
389 0.472275 0
390 0.472275 0
391 0.472275 0
392 0.472275 0
393 0.472275 0
394 0.472275 0
395 0.472275 0
396 0.472275 0
397 0.472275 0
398 0.472275 0
399 0.472275 0
400 0.472275 0
401 0.472275 0
402 0.472275 0
403 0.472275 0
404 0.472275 0
405 0.472275 0
406 0.472275 0
407 0.472275 0
408 0.472275 0
409 0.472275 0
410 0.472275 0
411 0.472275 0
412 0.472275 0
413 0.472275 0
414 0.472275 0
415 0.472275 0
416 0.472275 0
417 0.472275 0
418 0.472275 0
419 0.472275 0
420 0.472275 0
421 0.472275 0
422 0.472275 0
423 0.472275 0
424 0.472275 0
425 0.472275 0
426 0.472275 0
427 0.472275 0
428 0.472275 0
429 0.472275 0
430 0.472275 0
431 0.472275 0
432 0.472275 0
433 0.472275 0
434 0.472275 0
435 0.472275 0
436 0.472275 0
437 0.472275 0
438 0.472275 0
439 0.472275 0
440 0.472275 0
441 0.472275 0
442 0.472275 0
443 0.472275 0
444 0.472275 0
445 0.472275 0
446 0.472275 0
447 0.472275 0
448 0.472275 0
449 0.472275 0
450 0.472275 0
451 0.472275 0
452 0.472275 0
453 0.472275 0
454 0.472275 0
455 0.472275 0
456 0.472275 0
457 0.472275 0
458 0.472275 0
459 0.472275 0
460 0.472275 0
461 0.472275 0
462 0.472275 0
463 0.472275 0
464 0.472275 0
465 0.472275 0
466 0.472275 0
467 0.472275 0
468 0.472275 0
469 0.472275 0
470 0.472275 0
471 0.472275 0
472 0.472275 0
473 0.472275 0
474 0.472275 0
475 0.472275 0
476 0.472275 0
477 0.472275 0
478 0.472275 0
479 0.472275 0
480 0.472275 0
481 0.472275 0
482 0.472275 0
483 0.472275 0
484 0.472275 0
485 0.472275 0
486 0.472275 0
487 0.472275 0
488 0.472275 0
489 0.472275 0
490 0.472275 0
491 0.472275 0
492 0.472275 0
493 0.472275 0
494 0.472275 0
495 0.472275 0
496 0.472275 0
497 0.472275 0
498 0.472275 0
499 0.472275 0
500 0.472275 0
501 0.472275 0
502 0.472275 0
503 0.472275 0
504 0.472275 0
505 0.472275 0
506 0.472275 0
507 0.472275 0
508 0.472275 0
509 0.472275 0
510 0.472275 0
511 0.472275 0
512 0.472275 0
513 0.472275 0
514 0.472275 0
515 0.472275 0
516 0.472275 0
517 0.472275 0
518 0.472275 0
519 0.472275 0
520 0.472275 0
521 0.472275 0
522 0.472275 0
523 0.472275 0
524 0.472275 0
525 0.472275 0
526 0.472275 0
527 0.472275 0
528 0.472275 0
529 0.472275 0
530 0.472275 0
531 0.472275 0
532 0.472275 0
533 0.472275 0
534 0.472275 0
535 0.472275 0
536 0.472275 0
537 0.472275 0
538 0.472275 0
539 0.472275 0
540 0.472275 0
541 0.472275 0
542 0.472275 0
543 0.472275 0
544 0.472275 0
545 0.472275 0
546 0.472275 0
547 0.472275 0
548 0.472275 0
549 0.472275 0
550 0.472275 0
551 0.472275 0
552 0.472275 0
553 0.472275 0
554 0.472275 0
555 0.472275 0
556 0.472275 0
557 0.472275 0
558 0.472275 0
559 0.472275 0
560 0.472275 0
561 0.472275 0
562 0.472275 0
563 0.472275 0
564 0.472275 0
565 0.472275 0
566 0.472275 0
567 0.472275 0
568 0.472275 0
569 0.472275 0
570 0.472275 0
571 0.472275 0
572 0.472275 0
573 0.472275 0
574 0.472275 0
575 0.472275 0
576 0.472275 0
577 0.472275 0
578 0.472275 0
579 0.472275 0
580 0.472275 0
581 0.472275 0
582 0.472275 0
583 0.472275 0
584 0.472275 0
585 0.472275 0
586 0.472275 0
587 0.472275 0
588 0.472275 0
589 0.472275 0
590 0.472275 0
591 0.472275 0
592 0.472275 0
593 0.472275 0
594 0.472275 0
595 0.472275 0
596 0.472275 0
597 0.472275 0
598 0.472275 0
599 0.472275 0
600 0.472275 0
601 0.472275 0
602 0.472275 0
603 0.472275 0
604 0.472275 0
605 0.472275 0
606 0.472275 0
607 0.472275 0
608 0.472275 0
609 0.472275 0
610 0.472275 0
611 0.472275 0
612 0.472275 0
613 0.472275 0
614 0.472275 0
615 0.472275 0
616 0.472275 0
