# from_x0 from_x1 to_x0 to_x1 length
-1.3855196148 2.7673525412 -1.3855196148 2.7673525412 0.0000721886
-1.3855196148 2.7673525412 -1.3855196148 2.7673525412 0.0002691777
-1.3855196148 2.7673525412 -1.3855196148 2.7673525412 0.0001312519
-1.3855196148 2.7673525412 -1.3855196148 2.7673525412 0.0001480477
-1.3855196148 2.7673525412 -1.3855196148 2.7673525412 0.0001211300
-1.3855196148 2.7673525412 -1.3855196148 2.7673525412 0.0001211300
-1.3855196148 2.7673525412 -1.3855196148 2.7673525412 0.0001480477
-1.3855196148 2.7673525412 -1.3855196148 2.7673525412 0.0001480477
-1.3855196148 2.7673525412 -1.3855196148 2.7673525412 0.0004588762
-1.3855196148 2.7673525412 -1.3855196148 2.7673525412 0.0003595328
-1.3855196148 2.7673525412 -1.3855196148 2.7673525412 0.0008898436
-1.3891246329 2.7635447196 -1.3855196148 2.7673525412 0.0007490901
-1.3855196148 2.7673525412 -1.3855196148 2.7673525412 0.0010875866
-1.3789650363 2.7742758532 -1.3855196148 2.7673525412 0.0013619820
1.6621449319 3.0182469564 -1.3789650363 2.7742758532 0.4363258758
1.6621449319 3.0182469564 1.6621449319 3.0182469564 0.0002691777
-1.3855196148 2.7673525412 -1.3855196148 2.7673525412 0.0016178975
-1.0089867451 0.3258302455 -1.3891246329 2.7635447196 0.3559388041
-1.0089867451 0.3258302455 -1.0089867451 0.3258302455 0.0019774302
-1.4007972054 2.7659233891 -1.3855196148 2.7673525412 0.0021958117
-0.5926901135 0.1144904548 -1.0089867451 0.3258302455 0.6127096684
-1.3668470040 2.7690992825 -1.3855196148 2.7673525412 0.0026837698
-1.3668470040 2.7641766477 -1.3668470040 2.7690992825 0.0008311473
-1.4198243911 2.7539606614 -1.4007972054 2.7659233891 0.0033405375
-0.9496103973 0.3364610980 -1.0089867451 0.3258302455 0.0086499483
-1.4297869997 2.7570781680 -1.4198243911 2.7539606614 0.0016517018
-1.3886995783 2.7573490678 -1.3855196148 2.7673525412 0.0066511593
-0.9391454452 0.3430405982 -0.9496103973 0.3364610980 0.0018372956
-1.0429369466 0.3226543521 -1.0089867451 0.3258302455 0.0048795815
-0.9233566794 0.3437550946 -0.9391454452 0.3430405982 0.0035726238
1.6960730347 3.0014790817 1.6621449319 3.0182469564 0.0089273801
-1.3835872409 2.7699507301 -1.3886995783 2.7573490678 0.0066132161
1.6601205657 3.0156676688 1.6621449319 3.0182469564 0.0120143520
-1.3864031227 2.7773476202 -1.3835872409 2.7699507301 0.0036370812
1.6700647386 2.9929483325 1.6621449319 3.0182469564 0.0060083076
-0.9242634160 0.3266489699 -0.9391454452 0.3430405982 0.0033875296
-0.9999260905 0.3404885366 -1.0089867451 0.3258302455 0.0130293931
-1.3805185598 2.7637822895 -1.3835872409 2.7699507301 0.0022201537
-1.4570833891 2.7520876848 -1.4297869997 2.7570781680 0.0041771989
-1.0462454545 0.3231914572 -1.0429369466 0.3226543521 0.0029455722
-1.0730248849 0.3424675666 -1.0429369466 0.3226543521 0.0051666052
-1.3111969096 2.7726644537 -1.3668470040 2.7690992825 0.0079663110
-1.3051193651 2.7748736342 -1.3111969096 2.7726644537 0.0016889152
-1.3861050990 2.7780987082 -1.3805185598 2.7637822895 0.0023112725
-0.6436650794 0.1084071954 -0.5926901135 0.1144904548 0.0080802726
-1.3421543106 2.7650548163 -1.3864031227 2.7773476202 0.0068101570
-1.3051193651 2.7748736342 -1.3051193651 2.7748736342 0.0008941954
-1.4966091848 2.7673525412 -1.4570833891 2.7520876848 0.0063212101
-0.5727891925 0.0676415817 -0.5926901135 0.1144904548 0.0132690870
1.7903685400 3.0193791044 1.6960730347 3.0014790817 0.0140586570
1.5894541861 3.0111567652 1.6621449319 3.0182469564 0.0126632844
-1.4490806277 2.7646071492 -1.4570833891 2.7520876848 0.0081254176
-1.3465683584 2.7669581829 -1.3805185598 2.7637822895 0.0048795815
-1.2744300448 2.7656057998 -1.3051193651 2.7748736342 0.0050071590
-1.4016322359 2.6979240287 -1.3886995783 2.7573490678 0.0090666249
-1.4024539768 2.7864249764 -1.3861050990 2.7780987082 0.0035237879
-0.5814848016 0.0833004972 -0.5926901135 0.1144904548 0.0119530305
-1.3495181976 2.7777229389 -1.3465683584 2.7669581829 0.0028626445
-1.4845745308 2.7354579021 -1.4570833891 2.7520876848 0.0047569889
-0.5329433061 0.1402438939 -0.5727891925 0.0676415817 0.0119847541
-1.4570833891 2.7430107861 -1.4490806277 2.7646071492 0.0035665028
-0.5816278311 0.1678793633 -0.5926901135 0.1144904548 0.0086356141
-1.1129662623 0.3384130393 -1.0730248849 0.3424675666 0.0063863196
-1.4734674012 2.7562661283 -1.4570833891 2.7430107861 0.0035767482
-1.4879574281 2.7596285920 -1.4845745308 2.7354579021 0.0046357749
-1.3501328306 2.7828841051 -1.3495181976 2.7777229389 0.0016594337
-1.3852653084 2.6740021750 -1.4016322359 2.6979240287 0.0099526970
-1.3294148264 2.6838195209 -1.3852653084 2.6740021750 0.0082910803
-1.3609617881 2.7379323001 -1.3805185598 2.7637822895 0.0046368246
-1.5028719864 2.7673525412 -1.4879574281 2.7596285920 0.0028212961
-1.2923692521 2.7486752917 -1.2744300448 2.7656057998 0.0048356069
-1.3901770220 2.7265073340 -1.3609617881 2.7379323001 0.0045750513
-1.2797291522 2.7673525412 -1.2923692521 2.7486752917 0.0038361077
-0.6035608230 0.1688855233 -0.5816278311 0.1678793633 0.0066864224
-0.9747665541 0.3253284365 -0.9999260905 0.3404885366 0.0067083657
-0.5079886057 0.1048964177 -0.5329433061 0.1402438939 0.0113942537
-1.3698895353 2.6866038122 -1.4016322359 2.6979240287 0.0052250917
-0.9686634286 0.2967208823 -0.9999260905 0.3404885366 0.0078267282
-1.0833719101 0.3274277809 -1.0462454545 0.3231914572 0.0085502895
-1.1630291617 0.3243416558 -1.1129662623 0.3384130393 0.0074832308
-1.4196959776 2.7221565382 -1.4016322359 2.6979240287 0.0057085576
-1.3369608891 2.6875175304 -1.3698895353 2.6866038122 0.0050384708
-1.4521991662 2.7161159586 -1.4570833891 2.7430107861 0.0045675530
-1.0834002293 0.2787383026 -1.0429369466 0.3226543521 0.0085342920
-1.3240764532 2.7040710448 -1.3294148264 2.6838195209 0.0042524774
-1.4450137219 2.7354579021 -1.4570833891 2.7430107861 0.0034327287
-1.2868216006 2.7526114873 -1.2797291522 2.7673525412 0.0024012176
-1.4271375505 2.6760216342 -1.4016322359 2.6979240287 0.0066761904
-1.3906386593 2.6650851939 -1.3852653084 2.6740021750 0.0053819260
-0.6960630566 0.1289816484 -0.6436650794 0.1084071954 0.0081217441
-0.5621313086 3.1159226071 -1.3111969096 2.7726644537 0.3964086592
-1.3368119545 2.6811329828 -1.3294148264 2.6838195209 0.0026253220
1.5866189094 3.0301041533 1.6601205657 3.0156676688 0.0107113181
-1.3896398768 2.7060385890 -1.3901770220 2.7265073340 0.0030125323
-0.8450342769 0.3239281048 -0.9242634160 0.3266489699 0.0113265672
-0.9797675369 0.3358665927 -0.9747665541 0.3253284365 0.0068454852
-1.4485746716 2.7089338763 -1.4845745308 2.7354579021 0.0066450884
-0.5975175836 0.0271979214 -0.5814848016 0.0833004972 0.0083360518
-1.3474225595 2.6855026642 -1.3369608891 2.6875175304 0.0020908323
-1.3960706771 2.7603123568 -1.3861050990 2.7780987082 0.0141062249
-1.5228665632 2.7745877326 -1.5028719864 2.7673525412 0.0036266711
-1.4362846966 2.7332325161 -1.4196959776 2.7221565382 0.0059419086
-0.6796204399 0.1211701780 -0.6960630566 0.1289816484 0.0028455827
-1.4526194645 2.7840220122 -1.4024539768 2.7864249764 0.0072042457
-1.4405892601 2.7905226044 -1.4526194645 2.7840220122 0.0021295065
-0.8859171216 0.3347915747 -0.9233566794 0.3437550946 0.0076352879
-1.3998586876 2.6286337704 -1.3906386593 2.6650851939 0.0056190656
