# generation best_consensus ca_size
0 89.187199 99
1 89.187199 99
2 89.500208 99
3 89.500208 99
4 89.500208 99
5 89.500208 99
6 89.500208 99
7 89.500208 99
8 89.500208 99
9 89.500208 99
10 89.500208 99
11 89.500208 99
12 89.500208 99
13 89.500208 99
14 89.500208 99
15 89.500208 99
16 89.500208 99
17 89.910143 99
18 89.910143 99
19 89.910143 99
20 89.910143 99
21 89.910143 99
22 89.910143 99
23 89.910143 99
24 89.910143 99
25 89.910143 99
26 89.910143 99
27 89.910143 99
28 89.910143 99
29 89.910143 99
30 89.910143 99
31 89.910143 99
32 89.910143 99
33 89.910143 99
