# x0_norm x1_norm x0_plot x1_plot f_party0 f_party1 consensus x0_norm x1_norm x2_norm x3_norm x4_norm x5_norm x6_norm x7_norm x8_norm x9_norm
0.2905227505 0.1225317246 -1.4663407465 -2.6422779278 1.4442328275 1.4442328275 1.4442328275 0.2905227505 0.1225317246 0.8811938439 0.7054233444 0.8384249932 0.9297117593 0.6842932868 0.1797631735 0.2020928245 0.9955482287
0.9618905051 0.0416506548 3.2332335354 -3.2084454161 1.4442328275 1.4442328275 1.4442328275 0.9618905051 0.0416506548 0.3289344254 0.6008062913 0.7081763008 0.4125691890 0.5614113738 0.9136619651 0.6204269318 0.4516218887
0.3848875533 0.1176644610 -0.8057871272 -2.6763487728 1.4442328275 1.4442328275 1.4442328275 0.3848875533 0.1176644610 0.5923113455 0.7027376464 0.2877150405 0.2036196513 0.4382748714 0.1659682235 0.4781081314 0.8354874518
0.9629452073 0.9467814820 3.2406164514 3.1274703742 1.4442328275 1.4442328275 1.4442328275 0.9629452073 0.9467814820 0.7976695162 0.7450542574 0.3434049948 0.5470165585 0.4508717088 0.8631411365 0.8985916887 0.2868322432
0.5955496208 0.1166038367 0.6688473456 -2.6837731428 1.4442328275 1.4442328275 1.4442328275 0.5955496208 0.1166038367 0.6322936668 0.3696956423 0.5437214875 0.4180166354 0.4836338695 0.7120479041 0.4422075835 0.9333959157
0.3778491939 0.8143387506 -0.8550556424 2.2003712541 1.4442328275 1.4442328275 1.4442328275 0.3778491939 0.8143387506 0.3658105838 0.0500852436 0.4925128672 0.8270877486 0.3332129931 0.7285980374 0.7204078674 0.4540290948
0.3906965801 0.4698234361 -0.7651239393 -0.2112359476 1.4442328275 1.4442328275 1.4442328275 0.3906965801 0.4698234361 0.4449276869 0.2843399694 0.4459125694 0.8059479155 0.2770110487 0.1869724118 0.8314160025 0.8588974942
0.7634100902 0.6316288949 1.8438706315 0.9214022646 1.4442328275 1.4442328275 1.4442328275 0.7634100902 0.6316288949 0.1286940891 0.4693646033 0.6334193906 0.8118552940 0.6605958161 0.7197817590 0.7659095177 0.5653832987
0.9756345113 0.5849073203 3.3294415794 0.5943512423 1.4442328275 1.4442328275 1.4442328275 0.9756345113 0.5849073203 0.0392728952 0.4026001450 0.5539762294 0.5433299244 0.2012327650 0.8225518085 0.6771212225 0.2944182604
0.1273919219 0.4691380059 -2.6082565466 -0.2160339585 1.4442328275 1.4442328275 1.4442328275 0.1273919219 0.4691380059 0.5601240240 0.8719850727 0.1205119480 0.2907811965 0.7285520980 0.8427021861 0.9509037219 0.2491064911
0.2127365999 0.3234329551 -2.0108438006 -1.2359693140 1.4442328275 1.4442328275 1.4442328275 0.2127365999 0.3234329551 0.4201011524 0.5605230782 0.4338786399 0.3939825728 0.4607117324 0.2492323058 0.1791878244 0.0048536807
0.5838368321 0.5219737814 0.5868578244 0.1538164695 1.4442328275 1.4442328275 1.4442328275 0.5838368321 0.5219737814 0.5689576443 0.0611568324 0.8051895148 0.9036128837 0.0035055126 0.0917929516 0.6001853241 0.2382294449
0.5393742038 0.2314850422 0.2756194267 -1.8796047044 1.4442328275 1.4442328275 1.4442328275 0.5393742038 0.2314850422 0.8191704373 0.3494510129 0.6626207808 0.6577193174 0.5744420501 0.8316049255 0.2158306143 0.9403357660
0.3985330524 0.2896511535 -0.7102686332 -1.4724419253 1.4442328275 1.4442328275 1.4442328275 0.3985330524 0.2896511535 0.0353448031 0.6745857093 0.9898191931 0.5387026080 0.4123188091 0.5225038673 0.1818953024 0.7122702224
0.9109859347 0.9662349691 2.8769015426 3.2636447834 1.4442328275 1.4442328275 1.4442328275 0.9109859347 0.9662349691 0.5195908017 0.9861250677 0.5575948133 0.8207828656 0.1972929369 0.1428534824 0.5424838324 0.9932752853
0.2343523707 0.6944155991 -1.8595334053 1.3609091934 1.4442328275 1.4442328275 1.4442328275 0.2343523707 0.6944155991 0.6432904801 0.9431284967 0.5193463138 0.6826266551 0.1788000837 0.5914705548 0.6464207372 0.8406762144
0.9121427821 0.8089346235 2.8849994746 2.1625423644 1.4442328275 1.4442328275 1.4442328275 0.9121427821 0.8089346235 0.6623786864 0.2343493616 0.1362309865 0.0028156814 0.9285852982 0.2189142658 0.4121854230 0.5663746706
0.2891452465 0.6549160509 -1.4759832744 1.0844123561 1.4442328275 1.4442328275 1.4442328275 0.2891452465 0.6549160509 0.3069848675 0.1970632377 0.3844355108 0.3182753080 0.6144186127 0.6473479119 0.6480799377 0.9016470159
0.8289898561 0.3504045847 2.3029289928 -1.0471679069 1.4442328275 1.4442328275 1.4442328275 0.8289898561 0.3504045847 0.6097806279 0.2074703395 0.4797624033 0.5349184472 0.6201858253 0.8129500568 0.7123519346 0.8998918371
0.7314984120 0.4390764653 1.6204888839 -0.4264647429 1.4442328275 1.4442328275 1.4442328275 0.7314984120 0.4390764653 0.9440039991 0.1874808226 0.7877665689 0.3100106573 0.4696992906 0.6357001291 0.3758618009 0.1473338086
0.3869664019 0.4269707150 -0.7912351870 -0.5112049948 1.4442328275 1.4442328275 1.4442328275 0.3869664019 0.4269707150 0.6057307888 0.2317476239 0.4141598522 0.6087289341 0.2285385313 0.1240311060 0.6372616427 0.6169213642
0.9559885246 0.6115650293 3.1919196725 0.7809552049 1.4442328275 1.4442328275 1.4442328275 0.9559885246 0.6115650293 0.0394453688 0.2689112648 0.3062558504 0.6687978300 0.8983466573 0.4209547488 0.6361411244 0.9732772450
0.0374256628 0.9103178723 -3.2380203607 2.8722251061 1.4442328275 1.4442328275 1.4442328275 0.0374256628 0.9103178723 0.9057568856 0.8741093834 0.5935615353 0.4999828781 0.1199364000 0.0669714394 0.0471746910 0.3293056569
0.4106280171 0.0780986646 -0.6256038805 -2.9533093478 1.4442328275 1.4442328275 1.4442328275 0.4106280171 0.0780986646 0.3469133051 0.2899390014 0.7932748219 0.3309520615 0.1889026376 0.0925758674 0.8521451367 0.3747568931
0.0098923254 0.9923123801 -3.4307537219 3.4461866610 1.4442328275 1.4442328275 1.4442328275 0.0098923254 0.9923123801 0.0761688373 0.3003484204 0.4678501210 0.0776017195 0.7775454158 0.2520586262 0.5554638769 0.9939931224
0.5421215908 0.2208144635 0.2948511357 -1.9542987558 1.4442328275 1.4442328275 1.4442328275 0.5421215908 0.2208144635 0.8572756997 0.5276353968 0.0207380582 0.8080116858 0.3566049120 0.4337236812 0.2379838891 0.8965006886
0.1116239018 0.5427840476 -2.7186326871 0.2994883329 1.4442328275 1.4442328275 1.4442328275 0.1116239018 0.5427840476 0.2872699337 0.4862285577 0.7833781632 0.0624336968 0.0024469934 0.3091391133 0.7015744331 0.2963309380
0.3331137218 0.2849165699 -1.1682039477 -1.5055840105 1.4442328275 1.4442328275 1.4442328275 0.3331137218 0.2849165699 0.0381850286 0.6747972904 0.9233277302 0.0960054042 0.6588731679 0.8968959566 0.9367077783 0.2813488251
0.4353142474 0.7780034546 -0.4528002681 1.9460241824 1.4442328275 1.4442328275 1.4442328275 0.4353142474 0.7780034546 0.3363438743 0.2862344731 0.2972724244 0.6108195833 0.6202843528 0.6737480627 0.0764038464 0.9034504106
0.7120127087 0.0501110801 1.4840889612 -3.1492224390 1.4442328275 1.4442328275 1.4442328275 0.7120127087 0.0501110801 0.8109422249 0.4851772498 0.1197333331 0.1979637277 0.2520816012 0.8596255028 0.6505271904 0.5543065827
0.3733533618 0.5837196199 -0.8865264677 0.5860373395 1.4442328275 1.4442328275 1.4442328275 0.3733533618 0.5837196199 0.5786181357 0.8895620659 0.4016292498 0.7894139273 0.0513278432 0.7278495973 0.4428105722 0.9985035676
0.2185169317 0.8822868718 -1.9703814778 2.6760081026 1.4442328275 1.4442328275 1.4442328275 0.2185169317 0.8822868718 0.0626562456 0.3050968782 0.9825264095 0.5856694774 0.7024120522 0.7001703987 0.7607534588 0.1749915506
