# from_x0 from_x1 to_x0 to_x1 length
0.3771044608 2.3624544851 0.3771049496 2.3624546571 0.0000001341
0.3771040128 2.3624546990 0.3771044608 2.3624544851 0.0000000953
0.3771050776 2.3624547265 0.3771049496 2.3624546571 0.0000001209
0.3771039974 2.3624547932 0.3771040128 2.3624546990 0.0000000198
0.3771047283 2.3624543199 0.3771044608 2.3624544851 0.0000000727
0.3771056472 2.3624546751 0.3771050776 2.3624547265 0.0000000860
0.3771040305 2.3624549142 0.3771040128 2.3624546990 0.0000000606
0.3771049215 2.3624548284 0.3771049496 2.3624546571 0.0000000359
0.3771052705 2.3624545084 0.3771049496 2.3624546571 0.0000000537
0.3771048790 2.3624543027 0.3771047283 2.3624543199 0.0000000270
0.3771040150 2.3624550084 0.3771040305 2.3624549142 0.0000000198
0.3771056712 2.3624543661 0.3771056472 2.3624546751 0.0000000501
0.3771037278 2.3624550085 0.3771039974 2.3624547932 0.0000000493
0.3771040024 2.3624550855 0.3771040150 2.3624550084 0.0000000162
0.3771055227 2.3624544962 0.3771052705 2.3624545084 0.0000000366
0.3771055381 2.3624544020 0.3771055227 2.3624544962 0.0000000198
0.3771050996 2.3624539829 0.3771056712 2.3624543661 0.0000000984
0.3771059734 2.3624541897 0.3771056712 2.3624543661 0.0000000711
0.3771049329 2.3624541715 0.3771047283 2.3624543199 0.0000000444
0.3771066030 2.3624543914 0.3771059734 2.3624541897 0.0000002847
0.3771043802 2.3624553507 0.3771049215 2.3624548284 0.0000001081
0.3771067616 2.3624546102 0.3771066030 2.3624543914 0.0000001160
0.3771067124 2.3624544697 0.3771067616 2.3624546102 0.0000000569
0.3771069327 2.3624544377 0.3771067616 2.3624546102 0.0000000347
0.3771053524 2.3624543961 0.3771052705 2.3624545084 0.0000000624
0.3771066375 2.3624546751 0.3771067616 2.3624546102 0.0000000339
0.3771033677 2.3624550085 0.3771037278 2.3624550085 0.0000000514
0.3771068788 2.3624542894 0.3771069327 2.3624544377 0.0000000232
0.3771054767 2.3624552936 0.3771056472 2.3624546751 0.0000000967
0.3771071582 2.3624545811 0.3771069327 2.3624544377 0.0000000780
0.3771052958 2.3624539245 0.3771055381 2.3624544020 0.0000000781
0.3771076252 2.3624543453 0.3771071582 2.3624545811 0.0000001045
0.3771061897 2.3624542513 0.3771059734 2.3624541897 0.0000000449
0.3771063155 2.3624550592 0.3771066375 2.3624546751 0.0000000756
0.3771061055 2.3624542126 0.3771061897 2.3624542513 0.0000000191
0.3771050464 2.3624556898 0.3771054767 2.3624552936 0.0000000967
0.3771050789 2.3624539594 0.3771049329 2.3624541715 0.0000000389
0.3771048297 2.3624558686 0.3771050464 2.3624556898 0.0000000654
0.3771066053 2.3624542838 0.3771067124 2.3624544697 0.0000000759
0.3771047748 2.3624539535 0.3771049329 2.3624541715 0.0000000776
0.3771075094 2.3624545024 0.3771076252 2.3624543453 0.0000000522
0.3771080305 2.3624543157 0.3771076252 2.3624543453 0.0000000852
0.3771055104 2.3624539114 0.3771052958 2.3624539245 0.0000000313
0.3771063958 2.3624550365 0.3771063155 2.3624550592 0.0000000438
0.3771066207 2.3624541896 0.3771066053 2.3624542838 0.0000000198
0.3771076360 2.3624543194 0.3771075094 2.3624545024 0.0000000318
0.3771065950 2.3624541008 0.3771066207 2.3624541896 0.0000000153
0.3771066362 2.3624540954 0.3771065950 2.3624541008 0.0000000089
0.3771072347 2.3624548021 0.3771071582 2.3624545811 0.0000000338
0.3771059655 2.3624554327 0.3771063958 2.3624550365 0.0000000967
0.3771068066 2.3624541320 0.3771066362 2.3624540954 0.0000000278
0.3771043991 2.3624556899 0.3771048297 2.3624558686 0.0000000666
0.3771062622 2.3624554714 0.3771063155 2.3624550592 0.0000000632
0.3771058950 2.3624539033 0.3771055104 2.3624539114 0.0000000684
0.3771080184 2.3624546899 0.3771080305 2.3624543157 0.0000000571
0.3771047665 2.3624556517 0.3771043802 2.3624553507 0.0000001209
0.3771069547 2.3624549000 0.3771066375 2.3624546751 0.0000000559
0.3771078775 2.3624542693 0.3771076360 2.3624543194 0.0000000393
0.3771066207 2.3624539033 0.3771065950 2.3624541008 0.0000000295
0.3771082668 2.3624543710 0.3771080305 2.3624543157 0.0000000371
0.3771063480 2.3624554154 0.3771063155 2.3624550592 0.0000000773
0.3771062574 2.3624540902 0.3771061055 2.3624542126 0.0000000497
0.3771069477 2.3624541896 0.3771068066 2.3624541320 0.0000000345
0.3771059542 2.3624538827 0.3771058950 2.3624539033 0.0000000152
